Loan_ID,Married,Dependents,Education,Gender,Self_Employed,Property_Area,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
LP001002,No,0,Graduate,Male,No,Urban,5849,0,,360,1,Y
LP001003,Yes,1,Graduate,Male,No,Rural,4583,1508,128,360,1,N
LP001005,Yes,0,Graduate,Male,Yes,Urban,3000,0,66,360,1,Y
LP001006,Yes,0,Not Graduate,Male,No,Urban,2583,2358,120,360,1,Y
LP001008,No,0,Graduate,Male,No,Urban,6000,0,141,360,1,Y
LP001011,Yes,2,Graduate,Male,Yes,Urban,5417,4196,267,360,1,Y
LP001013,Yes,0,Not Graduate,Male,No,Urban,2333,1516,95,360,1,Y
LP001014,Yes,3+,Graduate,Male,No,Semiurban,3036,2504,158,360,0,N
LP001018,Yes,2,Graduate,Male,No,Urban,4006,1526,168,360,1,Y
LP001020,Yes,1,Graduate,Male,No,Semiurban,12841,10968,349,360,1,N
LP001024,Yes,2,Graduate,Male,No,Urban,3200,700,70,360,1,Y
LP001027,Yes,2,Graduate,Male,,Urban,2500,1840,109,360,1,Y
LP001028,Yes,2,Graduate,Male,No,Urban,3073,8106,200,360,1,Y
LP001029,No,0,Graduate,Male,No,Rural,1853,2840,114,360,1,N
LP001030,Yes,2,Graduate,Male,No,Urban,1299,1086,17,120,1,Y
LP001032,No,0,Graduate,Male,No,Urban,4950,0,125,360,1,Y
LP001034,No,1,Not Graduate,Male,No,Urban,3596,0,100,240,,Y
LP001036,No,0,Graduate,Female,No,Urban,3510,0,76,360,0,N
LP001038,Yes,0,Not Graduate,Male,No,Rural,4887,0,133,360,1,N
LP001041,Yes,0,Graduate,Male,,Urban,2600,3500,115,,1,Y
LP001043,Yes,0,Not Graduate,Male,No,Urban,7660,0,104,360,0,N
LP001046,Yes,1,Graduate,Male,No,Urban,5955,5625,315,360,1,Y
LP001047,Yes,0,Not Graduate,Male,No,Semiurban,2600,1911,116,360,0,N
LP001050,Yes,2,Not Graduate,,No,Rural,3365,1917,112,360,0,N
LP001052,Yes,1,Graduate,Male,,Semiurban,3717,2925,151,360,,N
LP001066,Yes,0,Graduate,Male,Yes,Semiurban,9560,0,191,360,1,Y
LP001068,Yes,0,Graduate,Male,No,Semiurban,2799,2253,122,360,1,Y
LP001073,Yes,2,Not Graduate,Male,No,Urban,4226,1040,110,360,1,Y
LP001086,No,0,Not Graduate,Male,No,Urban,1442,0,35,360,1,N
LP001087,No,2,Graduate,Female,,Semiurban,3750,2083,120,360,1,Y
LP001091,Yes,1,Graduate,Male,,Urban,4166,3369,201,360,,N
LP001095,No,0,Graduate,Male,No,Urban,3167,0,74,360,1,N
LP001097,No,1,Graduate,Male,Yes,Rural,4692,0,106,360,1,N
LP001098,Yes,0,Graduate,Male,No,Semiurban,3500,1667,114,360,1,Y
LP001100,No,3+,Graduate,Male,No,Rural,12500,3000,320,360,1,N
LP001106,Yes,0,Graduate,Male,No,Urban,2275,2067,,360,1,Y
LP001109,Yes,0,Graduate,Male,No,Urban,1828,1330,100,,0,N
LP001112,Yes,0,Graduate,Female,No,Semiurban,3667,1459,144,360,1,Y
LP001114,No,0,Graduate,Male,No,Urban,4166,7210,184,360,1,Y
LP001116,No,0,Not Graduate,Male,No,Semiurban,3748,1668,110,360,1,Y
LP001119,No,0,Graduate,Male,No,Urban,3600,0,80,360,1,N
LP001120,No,0,Graduate,Male,No,Urban,1800,1213,47,360,1,Y
LP001123,Yes,0,Graduate,Male,No,Urban,2400,0,75,360,,Y
LP001131,Yes,0,Graduate,Male,No,Semiurban,3941,2336,134,360,1,Y
LP001136,Yes,0,Not Graduate,Male,Yes,Urban,4695,0,96,,1,Y
LP001137,No,0,Graduate,Female,No,Urban,3410,0,88,,1,Y
LP001138,Yes,1,Graduate,Male,No,Urban,5649,0,44,360,1,Y
LP001144,Yes,0,Graduate,Male,No,Urban,5821,0,144,360,1,Y
LP001146,Yes,0,Graduate,Female,No,Urban,2645,3440,120,360,0,N
LP001151,No,0,Graduate,Female,No,Semiurban,4000,2275,144,360,1,Y
LP001155,Yes,0,Not Graduate,Female,No,Semiurban,1928,1644,100,360,1,Y
LP001157,No,0,Graduate,Female,No,Semiurban,3086,0,120,360,1,Y
LP001164,No,0,Graduate,Female,No,Semiurban,4230,0,112,360,1,N
LP001179,Yes,2,Graduate,Male,No,Urban,4616,0,134,360,1,N
LP001186,Yes,1,Graduate,Female,Yes,Urban,11500,0,286,360,0,N
LP001194,Yes,2,Graduate,Male,No,Semiurban,2708,1167,97,360,1,Y
LP001195,Yes,0,Graduate,Male,No,Semiurban,2132,1591,96,360,1,Y
LP001197,Yes,0,Graduate,Male,No,Rural,3366,2200,135,360,1,N
LP001198,Yes,1,Graduate,Male,No,Urban,8080,2250,180,360,1,Y
LP001199,Yes,2,Not Graduate,Male,No,Urban,3357,2859,144,360,1,Y
LP001205,Yes,0,Graduate,Male,No,Urban,2500,3796,120,360,1,Y
LP001206,Yes,3+,Graduate,Male,No,Urban,3029,0,99,360,1,Y
LP001207,Yes,0,Not Graduate,Male,Yes,Rural,2609,3449,165,180,0,N
LP001213,Yes,1,Graduate,Male,No,Rural,4945,0,,360,0,N
LP001222,No,0,Graduate,Female,No,Semiurban,4166,0,116,360,0,N
LP001225,Yes,0,Graduate,Male,No,Semiurban,5726,4595,258,360,1,N
LP001228,No,0,Not Graduate,Male,No,Urban,3200,2254,126,180,0,N
LP001233,Yes,1,Graduate,Male,No,Urban,10750,0,312,360,1,Y
LP001238,Yes,3+,Not Graduate,Male,Yes,Urban,7100,0,125,60,1,Y
LP001241,No,0,Graduate,Female,No,Semiurban,4300,0,136,360,0,N
LP001243,Yes,0,Graduate,Male,No,Urban,3208,3066,172,360,1,Y
LP001245,Yes,2,Not Graduate,Male,Yes,Semiurban,1875,1875,97,360,1,Y
LP001248,No,0,Graduate,Male,No,Semiurban,3500,0,81,300,1,Y
LP001250,Yes,3+,Not Graduate,Male,No,Semiurban,4755,0,95,,0,N
LP001253,Yes,3+,Graduate,Male,Yes,Semiurban,5266,1774,187,360,1,Y
LP001255,No,0,Graduate,Male,No,Urban,3750,0,113,480,1,N
LP001256,No,0,Graduate,Male,No,Urban,3750,4750,176,360,1,N
LP001259,Yes,1,Graduate,Male,Yes,Urban,1000,3022,110,360,1,N
LP001263,Yes,3+,Graduate,Male,No,Semiurban,3167,4000,180,300,0,N
LP001264,Yes,3+,Not Graduate,Male,Yes,Semiurban,3333,2166,130,360,,Y
LP001265,No,0,Graduate,Female,No,Semiurban,3846,0,111,360,1,Y
LP001266,Yes,1,Graduate,Male,Yes,Semiurban,2395,0,,360,1,Y
LP001267,Yes,2,Graduate,Female,No,Urban,1378,1881,167,360,1,N
LP001273,Yes,0,Graduate,Male,No,Semiurban,6000,2250,265,360,,N
LP001275,Yes,1,Graduate,Male,No,Urban,3988,0,50,240,1,Y
LP001279,No,0,Graduate,Male,No,Semiurban,2366,2531,136,360,1,Y
LP001280,Yes,2,Not Graduate,Male,No,Semiurban,3333,2000,99,360,,Y
LP001282,Yes,0,Graduate,Male,No,Semiurban,2500,2118,104,360,1,Y
LP001289,No,0,Graduate,Male,No,Urban,8566,0,210,360,1,Y
LP001310,Yes,0,Graduate,Male,No,Semiurban,5695,4167,175,360,1,Y
LP001316,Yes,0,Graduate,Male,No,Semiurban,2958,2900,131,360,1,Y
LP001318,Yes,2,Graduate,Male,No,Semiurban,6250,5654,188,180,1,Y
LP001319,Yes,2,Not Graduate,Male,No,Urban,3273,1820,81,360,1,Y
LP001322,No,0,Graduate,Male,No,Semiurban,4133,0,122,360,1,Y
LP001325,No,0,Not Graduate,Male,No,Semiurban,3620,0,25,120,1,Y
LP001326,No,0,Graduate,Male,,Urban,6782,0,,360,,N
LP001327,Yes,0,Graduate,Female,No,Semiurban,2484,2302,137,360,1,Y
LP001333,Yes,0,Graduate,Male,No,Semiurban,1977,997,50,360,1,Y
LP001334,Yes,0,Not Graduate,Male,No,Semiurban,4188,0,115,180,1,Y
LP001343,Yes,0,Graduate,Male,No,Semiurban,1759,3541,131,360,1,Y
LP001345,Yes,2,Not Graduate,Male,No,Urban,4288,3263,133,180,1,Y
LP001349,No,0,Graduate,Male,No,Semiurban,4843,3806,151,360,1,Y
LP001350,Yes,,Graduate,Male,No,Urban,13650,0,,360,1,Y
LP001356,Yes,0,Graduate,Male,No,Semiurban,4652,3583,,360,1,Y
LP001357,,,Graduate,Male,No,Urban,3816,754,160,360,1,Y
LP001367,Yes,1,Graduate,Male,No,Urban,3052,1030,100,360,1,Y
LP001369,Yes,2,Graduate,Male,No,Urban,11417,1126,225,360,1,Y
LP001370,No,0,Not Graduate,Male,,Rural,7333,0,120,360,1,N
LP001379,Yes,2,Graduate,Male,No,Urban,3800,3600,216,360,0,N
LP001384,Yes,3+,Not Graduate,Male,No,Semiurban,2071,754,94,480,1,Y
LP001385,No,0,Graduate,Male,No,Urban,5316,0,136,360,1,Y
LP001387,Yes,0,Graduate,Female,,Semiurban,2929,2333,139,360,1,Y
LP001391,Yes,0,Not Graduate,Male,No,Rural,3572,4114,152,,0,N
LP001392,No,1,Graduate,Female,Yes,Semiurban,7451,0,,360,1,Y
LP001398,No,0,Graduate,Male,,Semiurban,5050,0,118,360,1,Y
LP001401,Yes,1,Graduate,Male,No,Rural,14583,0,185,180,1,Y
LP001404,Yes,0,Graduate,Female,No,Semiurban,3167,2283,154,360,1,Y
LP001405,Yes,1,Graduate,Male,No,Urban,2214,1398,85,360,,Y
LP001421,Yes,0,Graduate,Male,No,Rural,5568,2142,175,360,1,N
LP001422,No,0,Graduate,Female,No,Urban,10408,0,259,360,1,Y
LP001426,Yes,,Graduate,Male,No,Rural,5667,2667,180,360,1,Y
LP001430,No,0,Graduate,Female,No,Semiurban,4166,0,44,360,1,Y
LP001431,No,0,Graduate,Female,No,Semiurban,2137,8980,137,360,0,Y
LP001432,Yes,2,Graduate,Male,No,Semiurban,2957,0,81,360,1,Y
LP001439,Yes,0,Not Graduate,Male,No,Rural,4300,2014,194,360,1,Y
LP001443,No,0,Graduate,Female,No,Rural,3692,0,93,360,,Y
LP001448,Yes,3+,Graduate,,No,Rural,23803,0,370,360,1,Y
LP001449,No,0,Graduate,Male,No,Rural,3865,1640,,360,1,Y
LP001451,Yes,1,Graduate,Male,Yes,Urban,10513,3850,160,180,0,N
LP001465,Yes,0,Graduate,Male,No,Rural,6080,2569,182,360,,N
LP001469,No,0,Graduate,Male,Yes,Urban,20166,0,650,480,,Y
LP001473,No,0,Graduate,Male,No,Urban,2014,1929,74,360,1,Y
LP001478,No,0,Graduate,Male,No,Semiurban,2718,0,70,360,1,Y
LP001482,Yes,0,Graduate,Male,Yes,Semiurban,3459,0,25,120,1,Y
LP001487,No,0,Graduate,Male,No,Semiurban,4895,0,102,360,1,Y
LP001488,Yes,3+,Graduate,Male,No,Semiurban,4000,7750,290,360,1,N
LP001489,Yes,0,Graduate,Female,No,Rural,4583,0,84,360,1,N
LP001491,Yes,2,Graduate,Male,Yes,Urban,3316,3500,88,360,1,Y
LP001492,No,0,Graduate,Male,No,Semiurban,14999,0,242,360,0,N
LP001493,Yes,2,Not Graduate,Male,No,Rural,4200,1430,129,360,1,N
LP001497,Yes,2,Graduate,Male,No,Rural,5042,2083,185,360,1,N
LP001498,No,0,Graduate,Male,No,Urban,5417,0,168,360,1,Y
LP001504,No,0,Graduate,Male,Yes,Semiurban,6950,0,175,180,1,Y
LP001507,Yes,0,Graduate,Male,No,Semiurban,2698,2034,122,360,1,Y
LP001508,Yes,2,Graduate,Male,No,Urban,11757,0,187,180,1,Y
LP001514,Yes,0,Graduate,Female,No,Semiurban,2330,4486,100,360,1,Y
LP001516,Yes,2,Graduate,Female,No,Urban,14866,0,70,360,1,Y
LP001518,Yes,1,Graduate,Male,No,Urban,1538,1425,30,360,1,Y
LP001519,No,0,Graduate,Female,No,Rural,10000,1666,225,360,1,N
LP001520,Yes,0,Graduate,Male,No,Semiurban,4860,830,125,360,1,Y
LP001528,No,0,Graduate,Male,No,Rural,6277,0,118,360,0,N
LP001529,Yes,0,Graduate,Male,Yes,Rural,2577,3750,152,360,1,Y
LP001531,No,0,Graduate,Male,No,Urban,9166,0,244,360,1,N
LP001532,Yes,2,Not Graduate,Male,No,Rural,2281,0,113,360,1,N
LP001535,No,0,Graduate,Male,No,Urban,3254,0,50,360,1,Y
LP001536,Yes,3+,Graduate,Male,No,Semiurban,39999,0,600,180,0,Y
LP001541,Yes,1,Graduate,Male,No,Rural,6000,0,160,360,,Y
LP001543,Yes,1,Graduate,Male,No,Urban,9538,0,187,360,1,Y
